Who was Frédéric Sorrieu and what did he create in 1848?,He was a French artist who prepared a series of four prints visualising his dream of a world made up of 'democratic and Social Republics'.
"In Frédéric Sorrieu's first print, what two items does the female figure of Liberty hold?",She holds the torch of Enlightenment in one hand and the Charter of the Rights of Man in the other.
"In Sorrieu's utopian vision, what lies shattered on the earth in the foreground?",The remains of the symbols of absolutist institutions.
"In Frédéric Sorrieu's print, which two nations led the procession of peoples marching past the Statue of Liberty?",The United States and Switzerland.
"What did the heavenly figures of Christ, saints, and angels symbolise in Sorrieu's 1848 prints?",They were used by the artist to symbolise fraternity among the nations of the world.
"Nationalism came with the French Revolution in 1789, leading to the transfer of sovereignty from the monarchy to a body of _____.",French citizens
What were the French terms for 'the fatherland' and 'the citizen' that were introduced during the revolution to create a sense of collective identity?,'la patrie' (the fatherland) and 'le citoyen' (the citizen).
What was the name given to the Civil Code of 1804 introduced by Napoleon?,The Napoleonic Code.
What three key principles did the Napoleonic Code of 1804 establish?,"It did away with all privileges based on birth, established equality before the law, and secured the right to property."
"Prior to the rise of the nation-state, territories like Germany, Italy, and Switzerland were divided into kingdoms, duchies, and _____ whose rulers had autonomous territories.",cantons
Which social class was politically and socially dominant on the European continent before the rise of nationalism?,The Aristocracy.
"The onset of industrialisation led to the emergence of a working-class population and middle classes made up of industrialists, businessmen, and _____.",professionals
"The term 'liberalism' derives from the Latin root 'liber', which means what?",Free.
"Under early 19th-century liberalism, the right to vote and to be elected was granted exclusively to which group of people?",Property-owning men.
"What was the 'zollverein', formed in 1834 at the initiative of Prussia?",It was a customs union joined by most of the German states.
What were the two main economic effects of the zollverein?,It abolished tariff barriers and reduced the number of currencies from over thirty to two.
"After Napoleon's defeat in 1815, European governments were driven by a spirit of _____.",conservatism
What five institutions did 19th-century conservatives believe should be preserved?,"The monarchy, the Church, social hierarchies, property, and the family."
"In 1815, representatives of which four European powers met in Vienna to draw up a settlement for Europe?","Britain, Russia, Prussia, and Austria."
"Following the Congress of Vienna in 1815, which dynasty was restored to power in France?",The Bourbon dynasty.
"What was a major issue that liberal-nationalists, who criticised the new conservative order after 1815, championed?",Freedom of the press.
Why were secret societies formed in many European states after 1815?,To train revolutionaries and spread their ideas in opposition to monarchical forms.
Who was Giuseppe Mazzini?,"An Italian revolutionary, born in Genoa in 1807, who founded secret societies to fight for a unified Italy."
What two underground societies did Giuseppe Mazzini found?,"First, Young Italy in Marseilles, and secondly, Young Europe in Berne."
What was the outcome of the July Revolution of 1830 in France?,The Bourbon Kings were overthrown and a constitutional monarchy was installed with Louis Philippe at its head.
"The July Revolution in France sparked an uprising in Brussels, which led to which country breaking away from the United Kingdom of the Netherlands?",Belgium.
In which year did the Greeks begin their struggle for independence from the Ottoman Empire?,1821.
What was Romanticism in the context of 19th-century nationalism?,"A cultural movement that sought to develop a particular form of nationalist sentiment through art, poetry, stories, and music."
What was a major cause of widespread pauperism in European towns and the countryside during the 1830s and 1840s?,"The rise of food prices or a year of bad harvest, coupled with a large population increase."
The liberal revolution of 1848 saw the educated middle classes demand the creation of a nation-state based on what principles?,"Parliamentary principles, including a constitution, freedom of the press, and freedom of association."
"On 18 May 1848, 831 elected representatives marched to take their places in the Frankfurt parliament, which was convened in which building?",The Church of St Paul.
The Frankfurt parliament drafted a constitution for a German nation to be headed by a monarchy subject to a _____.,Parliament
"Who was offered the crown for a unified Germany by the Frankfurt parliament, and what was his reaction?","Friedrich Wilhelm IV, King of Prussia, who rejected it and joined other monarchs to oppose the elected assembly."
"Despite participating in the liberal movement, what political right were women denied during the election of the Frankfurt Assembly?",Suffrage rights (the right to vote).
A significant social change after 1848 was the abolition of serfdom and bonded labour in the Habsburg dominions and in _____.,Russia
"After 1848, which German state took leadership of the movement for national unification?",Prussia.
Who was the chief minister of Prussia and the main architect of German unification?,Otto von Bismarck.
Bismarck carried out the process of German unification with the help of the Prussian _____ and _____.,army and bureaucracy
"In January 1871, who was proclaimed German Emperor in a ceremony held at Versailles?","The Prussian King, William I."
The nation-building process in Germany demonstrated the dominance of _____ state power.,Prussian
"In the mid-19th century, Italy was divided into seven states. Which was the only one ruled by an Italian princely house?",Sardinia-Piedmont.
Who was the Chief Minister of Sardinia-Piedmont who led the movement to unify the regions of Italy?,Cavour.
"In 1860, revolutionary forces marched into South Italy and the Kingdom of the Two Sicilies, winning the support of the local _____.",peasants
Who was proclaimed king of a united Italy in 1861?,Victor Emmanuel II.
"Which country is described as the 'model of the nation' due to its unique, long-term formation process?",Great Britain.
What was the result of the Act of Union (1707) between England and Scotland?,The formation of the 'United Kingdom of Great Britain'.
In which year was Ireland forcibly incorporated into the United Kingdom?,1801.
Name two of the three symbols of the 'new Britain' that were actively promoted.,"The British flag (Union Jack), the national anthem (God Save Our Noble King), and the English language."
How did artists of the 18th and 19th centuries personify nations?,"They represented a country as a person, and nations as female figures (allegories)."
"In allegorical representations, what does a blindfolded woman carrying a pair of weighing scales symbolise?",Justice.
"After 1871, what was the name for the region of intense nationalist tension comprising modern-day Romania, Bulgaria, Albania, Greece, etc.?",The Balkans.
The disintegration of which empire made the Balkans region particularly explosive in the late 19th century?,The Ottoman Empire.
The alignment of nationalism with _____ led to intense rivalry among European powers and eventually the First World War.,imperialism
