What is the scientific study of life forms and living processes called?,Biology.
The systematic description of life forms led to the development of which three detailed systems?,"Identification, nomenclature, and classification."
What revelation from the study of life forms led to cultural movements for the conservation of biodiversity?,The recognition that all present-day living organisms are related to each other and to all organisms that have ever lived on earth.
Who is the evolutionary biologist known as 'The Darwin of the 20th century'?,Ernst Mayr.
What concept did Ernst Mayr pioneer that is currently accepted in biology?,The definition of a biological species.
The number and various kinds of organisms found on earth is referred to as _____.,biodiversity
What is the approximate number of species that are known and have been described?,Between 1.7 to 1.8 million.
What is the process of standardising the naming of living organisms so that a particular organism is known by the same name all over the world?,Nomenclature.
"What process must occur before nomenclature, ensuring we know which organism a name is attached to?",Identification.
What does ICBN stand for in the context of scientific naming?,International Code for Botanical Nomenclature.
What does ICZN stand for in the context of scientific naming?,International Code of Zoological Nomenclature.
The system of providing a scientific name with two components is called _____.,Binomial nomenclature
Who is credited with developing the system of binomial nomenclature?,Carolus Linnaeus.
"In a binomial name, what does the first component represent?",The Generic name (or genus).
"In a binomial name, what does the second component represent?",The specific epithet.
"According to the universal rules of nomenclature, biological names are generally in which language?",Latin.
How must a biological name be written when printed to indicate its Latin origin?,In italics.
How must a biological name be written when handwritten?,The two words must be separately underlined.
"In the binomial name *Mangifera indica*, which word represents the genus?",*Mangifera*.
"In the binomial name *Mangifera indica*, which word represents the specific epithet?",*indica*.
"According to naming conventions, the first word denoting the genus must start with a _____ letter.",capital
"According to naming conventions, the second word, the specific epithet, must start with a _____ letter.",small
"In the name *Mangifera indica* Linn., what does 'Linn.' signify?",It indicates that the species was first described by Linnaeus.
What is the term for the process by which anything is grouped into convenient categories based on easily observable characters?,Classification.
"What is the scientific term for the convenient categories, such as 'dogs', 'mammals', or 'wheat', used to study organisms?",Taxa (singular: taxon).
What is the term for the process of classification that is based on the characteristics of living organisms?,Taxonomy.
What are the four processes that are considered basic to taxonomy?,"Characterisation, identification, classification, and nomenclature."
The earliest classifications of organisms were primarily based on what criterion?,"The 'uses' of various organisms for human needs like food, clothing, and shelter."
What branch of study deals with the diversities of organisms and the evolutionary relationships among them?,Systematics.
"The word 'systematics' is derived from the Latin word 'systema', which means what?",Systematic arrangement of organisms.
What was the title of the publication by Linnaeus that used the word 'Systema'?,*Systema Naturae*.
"In classification, each step in the hierarchy represents a rank or a _____.",category
All the categories in a taxonomic arrangement together constitute the _____.,taxonomic hierarchy
What is the lowest and most basic category in the taxonomic hierarchy for all organisms?,Species.
"List the seven main taxonomic categories in ascending order, starting from the lowest.","Species, Genus, Family, Order, Class, Phylum/Division, Kingdom."
"As we go higher up the taxonomic hierarchy, from species to kingdom, what happens to the number of common characteristics?",The number of common characteristics goes on decreasing.
Term: Species,"Definition: A group of individual organisms with fundamental similarities, distinguishable from other closely related groups by distinct morphological differences."
Term: Genus,Definition: A group of related species which has more characters in common in comparison to species of other genera.
The lion (*Panthera leo*) and the tiger (*Panthera tigris*) belong to the same _____.,genus (*Panthera*)
Term: Family,Definition: A group of related genera with still fewer similarities as compared to genus and species.
"The genera *Panthera* (lion, tiger) and *Felis* (cats) are placed together in which family?",Felidae.
"The plant genera *Solanum*, *Petunia*, and *Datura* are all placed in which family?",Solanaceae.
Term: Order,Definition: An assemblage of families which exhibit a few similar characters.
The animal families Felidae (cats) and Canidae (dogs) are both included in which order?,Carnivora.
Term: Class,Definition: A category that includes related orders.
"Order Primata (monkey, gorilla) and Order Carnivora (tiger, dog) are both placed in which class?",Mammalia.
Term: Phylum,"Definition: A category comprising classes with shared features, such as the presence of a notochord in animals."
"In the classification of plants, what term is equivalent to 'Phylum' in animal classification?",Division.
"What are the two common features that place animals like fishes, amphibians, and mammals into the phylum Chordata?",Presence of a notochord and a dorsal hollow neural system.
"What is the highest taxonomic category, which includes all animals from various phyla?","Kingdom (e.g., Kingdom Animalia)."
What is the biological name for man?,*Homo sapiens*.
To which family does man (*Homo sapiens*) belong?,Hominidae.
To which order does man (*Homo sapiens*) belong?,Primata.
To which class does man (*Homo sapiens*) belong?,Mammalia.
To which phylum does man (*Homo sapiens*) belong?,Chordata.
What is the biological name for the housefly?,*Musca domestica*.
To which family does the housefly (*Musca domestica*) belong?,Muscidae.
To which order does the housefly (*Musca domestica*) belong?,Diptera.
To which class does the housefly (*Musca domestica*) belong?,Insecta.
To which phylum does the housefly (*Musca domestica*) belong?,Arthropoda.
What is the biological name for mango?,*Mangifera indica*.
To which family does the mango (*Mangifera indica*) belong?,Anacardiaceae.
To which order does the mango (*Mangifera indica*) belong?,Sapindales.
To which class does the mango (*Mangifera indica*) belong?,Dicotyledonae.
To which division does the mango (*Mangifera indica*) belong?,Angiospermae.
What is the biological name for wheat?,*Triticum aestivum*.
To which family does wheat (*Triticum aestivum*) belong?,Poaceae.
To which order does wheat (*Triticum aestivum*) belong?,Poales.
To which class does wheat (*Triticum aestivum*) belong?,Monocotyledonae.
To which division does wheat (*Triticum aestivum*) belong?,Angiospermae.
