What percentage of Belgium's total population speaks Dutch?,59 percent of the total population speaks Dutch.
What percentage of Belgium's population speaks French?,40 percent of the population speaks French.
"In Belgium, the minority _____-speaking community was comparatively rich and powerful, leading to tensions in the 1950s and 1960s.",French
Between which years did Belgian leaders amend their constitution four times to accommodate community differences?,Between 1970 and 1993.
What does the Belgian constitution prescribe about the number of Dutch and French-speaking ministers in the Central Government?,It prescribes that the number of Dutch and French-speaking ministers shall be equal.
"In the Belgian model, how are decisions on some special laws made to prevent unilateral decisions by one community?",They require the support of a majority of members from each linguistic group.
What is the relationship between the state governments and the Central Government in Belgium?,The state governments are not subordinate to the Central Government.
"How is power shared in Brussels' separate government, according to the Belgian model?",Both the French-speaking and Dutch-speaking communities have equal representation.
"What is the third kind of government in Belgium, besides the Central and State Governments?",It is the 'community government'.
Who elects the 'community government' in Belgium?,"It is elected by people belonging to one language community (Dutch, French or German-speaking), regardless of where they live."
What specific issues does the Belgian 'community government' have power over?,"It has power regarding cultural, educational and language-related issues."
What was the overall outcome of the complex Belgian model of power-sharing?,It helped to avoid civic strife between the two major communities.
What percentage of Sri Lanka's population are Sinhala-speakers?,74 percent of the population are Sinhala-speakers.
What percentage of Sri Lanka's population are Tamil-speakers?,18 percent of the population are Tamil-speakers.
The policy in which a majority community imposes its will on the entire country is known as _____.,Majoritarianism
In what year did Sri Lanka emerge as an independent country?,Sri Lanka emerged as an independent country in 1948.
What kind of preferential policies did the Sinhala-dominated government in Sri Lanka follow?,They followed policies that favoured Sinhala applicants for university positions and government jobs.
What was the effect of majoritarian policies on the Sri Lankan Tamils?,It gradually increased their feeling of alienation.
What were three key demands for which Sri Lankan Tamils launched parties and struggles?,"They demanded recognition of Tamil as an official language, regional autonomy, and equality of opportunity in education and jobs."
The widespread conflict that arose from the distrust between the Sinhala and Tamil communities in Sri Lanka is known as a _____.,Civil war
In which year did the Sri Lankan civil war end?,The civil war ended in 2009.
What key lesson does the case of Belgium teach about national unity?,Unity is possible only by respecting the feelings and interests of different communities and regions.
What does the Sri Lankan case demonstrate about a majority community forcing its dominance?,It can undermine the unity of the country.
What is the 'prudential' reason for why power-sharing is desirable?,Power-sharing is good because it helps to reduce the possibility of conflict between social groups.
What is the 'moral' reason for why power-sharing is desirable?,"People have a right to be consulted on how they are to be governed, and democratic rule involves sharing power with those affected by it."
"Prudential reasons for power-sharing stress that it will bring out better _____, while moral reasons emphasise the act itself as valuable.",outcomes
"What is the form of power-sharing among different organs of government, such as the legislature, executive, and judiciary, called?",It is called the horizontal distribution of power.
"Why is the sharing of power among the legislature, executive and judiciary called a 'horizontal distribution'?",Because it allows different organs of government placed at the same level to exercise different powers.
"The arrangement where each organ of government checks the others, ensuring none can exercise unlimited power, is called a system of _____.",checks and balances
"What is it called when power is shared among governments at different levels, such as a general government for the country and governments at the provincial level?",It is called a federal government or vertical distribution of power.
"Which country provides a good example of power being shared among different social, religious, and linguistic groups?","Belgium, with its 'community government', is a good example of this arrangement."
What is the main purpose of sharing power with minority communities?,This method is used to give minority communities a fair share in power.
"What is formed when two or more political parties form an alliance, get elected, and share power?",They form a coalition government.
"In the map of Belgium, what language is spoken in the northern Flemish region, coloured yellow?",Dutch is spoken in the Flemish region.
"According to the map of Belgium, what language is spoken in the southern Walloon region, coloured red?",French is spoken in the Walloon region.
"What is the capital of Belgium, shown as an orange area on the map?",The capital is the Brussels-Capital Region.
