What is a chemical change?,A change in which one or more new substances with new physical and chemical properties are formed.
"In the reaction $Fe(s) + CuSO_4(aq) → FeSO_4(aq) + Cu(s)$, what colour change is observed?",The blue solution of copper sulphate turns green due to the formation of ferrous sulphate.
What is a physical change?,"A change in which properties like colour or state may alter, but no new substance is formed."
Name one of the five key observations that can help determine if a chemical reaction has occurred.,"Evolution of a gas, change in temperature, formation of a precipitate, change in colour, or change of state."
The formation of a solid from a solution during a chemical reaction is known as the formation of a _____.,precipitate
What occurs between atoms during a chemical reaction to transform reactants into products?,The making or breaking of bonds (or both).
What is a chemical reaction expressed in words rather than chemical formulas called?,A word equation.
What is the term for the combining capacity of an element?,Valency.
What is the representation of a chemical reaction using symbols and chemical formulae known as?,A chemical equation.
"In a chemical equation, what does the symbol (s) after a substance indicate?",The substance is in a solid state.
"In a chemical equation, what does the symbol (aq) after a substance indicate?","The substance is dissolved in water, forming an aqueous solution."
What does the symbol (↑) represent in a chemical equation?,It indicates that a gas has been produced in the reaction.
What does the symbol (↓) represent in a chemical equation?,It indicates that a precipitate has formed in the reaction.
What fundamental law states that no atoms can be created or destroyed in a chemical reaction?,The law of conservation of mass.
What defines a balanced chemical equation?,An equation in which the number of atoms for each element on the reactants side is equal to the number on the products side.
"In a _____ reaction, two or more substances combine to form a single product.",combination
What type of reaction is represented by $2CO + O_2 → 2CO_2$?,A combination reaction (compound + element → compound).
What is a decomposition reaction?,A reaction where a single reactant breaks down to give two or more products.
Decomposition reactions that require heat are known as _____.,thermolytic decomposition or thermolysis
What type of decomposition is illustrated by heating mercuric oxide?,Thermal decomposition (thermolysis).
What is the term for a decomposition reaction that is caused by light?,Photolytic decomposition or photolysis.
The decomposition of hydrogen peroxide ($H_2O_2$) into water and oxygen by sunlight is an example of _____.,photolytic decomposition
What type of decomposition reaction requires electricity to proceed?,Electrolytic decomposition or electrolysis.
The breakdown of water into hydrogen and oxygen gas using a battery is an example of _____.,electrolytic decomposition (electrolysis)
What happens in a single displacement reaction?,A more reactive element displaces a less reactive element from its compound or solution.
The reaction $Zn(s) + CuSO_4(aq) → ZnSO_4(aq) + Cu(s)$ is an example of what type of reaction?,A single displacement reaction.
What is the defining characteristic of a double displacement reaction?,An exchange of ions between the reactants takes place to give new products.
What is a precipitation reaction?,"A reaction in which an insoluble compound, called a precipitate, forms when two solutions are combined."
"In the reaction $Pb(NO_3)_2(aq) + 2KI(aq) → 2KNO_3(aq) + PbI_2(↓)$, which product is the precipitate?","Lead(II) iodide ($PbI_2$), which is a yellow solid."
What is a redox reaction?,A reaction in which oxidation and reduction take place simultaneously.
"In terms of electrons, what is oxidation?",The loss of electrons from a substance.
"In terms of oxygen, what is reduction?",The loss of oxygen from a substance.
What is an oxidising agent?,A substance that oxidises another substance and is itself reduced.
What is a reducing agent?,A substance that reduces another substance and is itself oxidised.
"In the reaction $Fe + CuSO_4 → FeSO_4 + Cu$, which substance is the reducing agent?","Iron (Fe), as it loses electrons (is oxidised)."
"In the reaction $ZnO + C → Zn + CO$, what happens to the zinc oxide ($ZnO$)?",It is reduced to zinc (Zn).
"In the reaction $ZnO + C → Zn + CO$, which substance is the oxidising agent?",Zinc oxide ($ZnO$).
What is an exothermic reaction?,A reaction during which heat is evolved.
"What type of reaction, combination or decomposition, is typically exothermic?",Most combination reactions are exothermic.
What is an endothermic reaction?,A reaction that requires an input of heat (or other energy like light) to proceed.
"The process of photosynthesis, $6CO_2 + 6H_2O + Sunlight → C_6H_{12}O_6 + 6O_2$, is an example of an _____ reaction.",endothermic
What is corrosion?,"The gradual deterioration of a material, usually a metal, by the action of moisture, air, or chemicals."
What is the chemical formula for rust?,$2Fe_2O_3.xH_2O$
What causes the green coating that forms on copper when it corrodes?,"The formation of copper carbonate and copper hydroxide, $CuCO_3.Cu(OH)_2$."
What substance in the air reacts with silver to cause it to tarnish?,Hydrogen sulphide ($H_2S$).
What is the chemical name for the black substance formed when silver tarnishes?,Silver sulphide ($Ag_2S$).
What is rancidity?,"The oxidation of fats and oils in food that has been kept for a long time, resulting in a foul smell and bad taste."
Why is nitrogen gas used in the packaging of foods like potato crisps?,"To prevent rancidity by displacing oxygen, which causes the oxidation of fats and oils."
Name one method used to prevent rancidity in food.,"Using air-tight containers, packaging with nitrogen, refrigeration, or adding antioxidants."
