What three conditions must an item in our environment satisfy to be termed a 'Resource'?,"It must be technologically accessible, economically feasible, and culturally acceptable."
What are the two classifications of resources based on their origin?,Biotic and Abiotic resources.
"Resources obtained from the biosphere that have life, such as flora and fauna, are known as what?",Biotic Resources.
"Resources composed of non-living things, such as rocks and metals, are known as what?",Abiotic Resources.
What are the two classifications of resources based on their exhaustibility?,Renewable and Non-renewable resources.
"Resources which can be renewed or reproduced by physical, chemical or mechanical processes are called _____ resources.",Renewable or Replenishable.
"Resources that are formed over a very long geological time, such as fossil fuels, are known as what?",Non-Renewable Resources.
What are the four classifications of resources based on ownership?,"Individual, community, national, and international."
"Resources owned privately by individuals, such as plots of land or houses, are classified as what type of resource?",Individual Resources.
"Resources like public parks and burial grounds, which are accessible to all members of the community, are known as what?",Community Owned Resources.
The oceanic area up to how many nautical miles from a country's coast is considered national territorial water?,12 nautical miles (22.2 km).
Which type of institutions regulate oceanic resources beyond 200 nautical miles of the Exclusive Economic Zone?,International institutions.
What are the four classifications of resources based on the status of development?,"Potential, developed stock, and reserves."
"Resources found in a region but not yet utilised, such as wind and solar energy in Rajasthan and Gujarat, are called what?",Potential Resources.
What are resources that have been surveyed for quality and quantity and determined for utilisation called?,Developed Resources.
Materials in the environment that have potential to satisfy human needs but are inaccessible due to a lack of appropriate technology are called _____.,Stock.
"What is the term for the subset of stock that can be used with existing technology but has not yet been utilised, kept for future needs?",Reserves.
"What is an example of 'stock' as a resource, mentioned in the text?","Using hydrogen as a rich source of energy, for which we lack advanced technology."
Name one of the three major problems caused by the indiscriminate use of resources by humans.,"Depletion of resources, accumulation of resources in few hands, or global ecological crises (e.g., global warming)."
What does the term 'Sustainable Economic Development' mean?,Development should occur without damaging the environment and not compromise the needs of future generations.
What is the first of the three complex processes involved in resource planning in India?,"Identification and inventory of resources, including surveying, mapping, and estimation."
What is the second process in resource planning in India?,"Evolving a planning structure with appropriate technology, skills, and institutional setup."
What is the third process in resource planning in India?,Matching the resource development plans with overall national development plans.
What percentage of India's land is composed of plains?,43 per cent.
What percentage of India's land is composed of mountains?,30 per cent.
What percentage of India's land is composed of plateaus?,27 per cent.
Land use is determined by physical factors and which other category of factors?,"Human factors, such as population density and technology."
What are the two pie charts in the source material comparing?,General land use categories in India for the years 1960-61 and 2014-15.
What human activities are listed as significant contributors to land degradation?,"Deforestation, overgrazing, mining, and quarrying."
What conservation measure involves planting trees in lines to break the force of the wind?,Planting of shelter belts.
What are the important factors in the formation of soil?,"Parent rock or bedrock, climate, vegetation, other forms of life, and time."
The entire northern plains of India are made of which type of soil?,Alluvial soil.
Which three important Himalayan river systems deposit alluvial soil?,"The Indus, the Ganga, and the Brahmaputra."
"Based on age, alluvial soils are classified into which two types?",Old Alluvial (Bangar) and New Alluvial (Khadar).
"Which type of alluvial soil, Bangar or Khadar, is more fertile and has more fine particles?",New Alluvial (Khadar).
"Alluvial soils are ideal for growing which crops due to their adequate proportion of potash, phosphoric acid, and lime?","Sugarcane, paddy, wheat, and other cereal and pulse crops."
What is another name for Black Soil?,Regur soil.
"Black soil is ideal for growing which crop, earning it the name 'black cotton soil'?",Cotton.
"Which region of India is typically associated with Black Soil, being made up of lava flows?",The Deccan trap (Basalt) region.
Black soils are well-known for their capacity to hold _____.,moisture.
Red and Yellow soils develop on which type of rocks in areas of low rainfall?,Crystalline igneous rocks.
What causes the reddish colour in Red and Yellow soils?,The diffusion of iron in crystalline and metamorphic rocks.
Under what condition does Red soil appear yellow?,When it occurs in a hydrated form.
Laterite soil develops under a tropical and subtropical climate with which specific seasonal pattern?,An alternate wet and dry season.
Laterite soil is the result of intense _____ due to heavy rain.,leaching.
"Laterite soil is typically _____ in nature, with a pH of less than 6.0.",acidic.
Laterite soil is very useful for growing which two beverage crops?,Tea and coffee.
"Which type of soil ranges from red to brown, is sandy in texture, and saline in nature?",Arid soils.
The lower horizons of Arid soils are occupied by 'Kankar' due to the increasing content of what element downwards?,Calcium.
In which geographical areas are Forest soils typically found?,In hilly and mountainous areas.
"In snow-covered areas of the Himalayas, Forest soils experience denudation and are acidic with low _____ content.",humus.
What term describes the denudation of the soil cover and its subsequent washing down?,Soil erosion.
"When running water cuts through clayey soils making deep channels, the land becomes unfit for cultivation and is known as _____ land.",bad.
"What is the term for erosion that occurs when water flows as a sheet over large areas down a slope, washing away the topsoil?",Sheet erosion.
What is the term for ploughing along the contour lines to decelerate water flow down slopes?,Contour Ploughing.
"What method of farming, which restricts erosion, is practised in the Western and Central Himalayas?",Terrace cultivation.
What is the method of leaving strips of grass to grow between crops to break up the force of the wind called?,Strip Cropping.
